SKU;Producto;Categoria;Problemas
104814;"Lorazepam 2 mg x 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150089;"Lorazepam 4mg/2ml x 1 Ampolla";Salud Mental;"Principio activo es igual al nombre del producto"
159518;"Luradon Lurasidona 20mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
138936;"Luvox Fluvoxamina Maleato 100mg 30 Comprimidos";Salud Mental;"Indicación genérica: "trastornos de salud mental""
120093;"Lyrica 150 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120094;"Lyrica 150 mg x 28 Cápsulas";Salud Mental;"mojibake: +í → á"
120245;"Lyrica 25 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120091;"Lyrica 75 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120092;"Lyrica 75 mg x 28 Cápsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
91341;"Madozide 200/50 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
140415;"Melatonina 3 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
15079;"Melatonina 3 mg x 30 Capsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
150942;"Melatonina 3 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
53496;"Melatonina 3 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
85986;"Melipass x 24 Capsulas";Salud Mental;"Falta campo en bullets: Concentración"
85987;"Melipass x 60 Cápsulas";Salud Mental;"mojibake: +í → á | Falta campo en bullets: Concentración"
86063;"Melissa E.F. Frasco X 30 Cc";Salud Mental;"Falta campo en bullets: Concentración"
140273;"Memantina 20 mg x 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140272;"Memantina Clorhidrato 10mg 60 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
106115;"Memorex x 60 Capsulas";Salud Mental;"Falta campo en bullets: Concentración"
106358;"Mimetix Odt 20 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
150458;"Mirtazapina 30 mg 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
90960;"Morelin x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
90044;"Movigil Modafinilo 200mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
159535;"NEOARADIX TABL 10mg x 30";Salud Mental;"Principio activo es igual al nombre del producto"
159536;"NEOARADIX TABL 5 MG x 30 COMP";Salud Mental;"Principio activo es igual al nombre del producto"
106508;"Neoresotyl 50 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
125930;"Nervoheel x 50 Comprimidos Sublinguales";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
125983;"Neurexan x 50 Comprimidos Sublinguales";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
150815;"Neurostab 60 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
107037;"Neuroval Cd 10 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
119615;"Nevinex 150 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
150254;"Nezel XR 150mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
150731;"Nortium Quetiapina 25mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140389;"Nortium XR 50 mg 30 Comprimidos Recubiertos de Liberación Prolongada";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
150454;"Olanzapina 10mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150244;"Olanzapina 5mg x 30 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
140490;"Olanzapina de 10mg 28 comp";Salud Mental;"Principio activo es igual al nombre del producto"
159297;"Otoc 8 mg x 10 Comprimidos Bucodispersables (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
139881;"Paroxetina 20 mg x 30 comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
159128;"Pentinor 50 mg x 40 cap.";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
15488;"Pentinor 75 mg x 40 Cápsulas";Salud Mental;"mojibake: +í → á"
140581;"Piridostigmina 60mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
119463;"Pramipexol 0,25 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
82261;"Prayanol 100 mg x 30 Capsulas";Salud Mental;"mojibake: +í → á"
129715;"Pregabalina 150 mg 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
159242;"Pregabalina 150 mg x 30 cap";Salud Mental;"Principio activo es igual al nombre del producto"
15441;"Pregabalina 150 mg x 30 Cápsulas";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
129703;"Pregabalina 75 mg  30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto | Doble espacio en title_optimizado | Doble espacio en meta_description_optimizado | Doble espacio en descripcion_intranet"
15440;"Pregabalina 75 mg x 30 Cápsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
138841;"Pregalex Pregabalina 75mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
105164;"Pregobin 150 mg x 30 Capsulas";Salud Mental;"Principio activo es igual al nombre del producto"
90114;"Prestat 75 mg x 40 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
90166;"Prestat Pregabalina 50mg 40 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
91029;"Primidona 250 mg x 50 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140833;"Prolopa 200 mg; 50 mg x 30 comprimidos (CENABAST)";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
128933;"Prolopa 200/50 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
128938;"Prolopa Benserazida / Levodopa 25/100 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
128934;"Prolopa HBS 100mg/25mg 30 Cápsulas";Salud Mental;"mojibake: +í → á"
91462;"Quetiapina 100 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
15400;"Quetiapina 100 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
129737;"Quetiapina 100 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
150194;"Quetiapina 100 mg x 30 Comprimidos Recubiertos (CENABAST)";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
150795;"Quetiapina 100mg x 30 Comprimidos Recubiertos (Cenabast)";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
15401;"Quetiapina 200 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
91463;"Quetiapina 25 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
15399;"Quetiapina 25 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
129704;"Quetiapina 25 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto | Indicación genérica: "Bienestar emocional y salud mental""
110684;"Quetiapina 25mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
158924;"Quetiapina 300 x 30 comp.";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
98981;"Quetiapina Com Rec 100 mg x 30";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
98955;"Quetiapina Com Rec 25 mg x 30";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
150377;"Quetiapina Lp 150mg x 40 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
151048;"Quetiazic 25 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
131697;"Quetiazic Quetiapina 25mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
105755;"Quetidin 100mg Quetiapina";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
105756;"Quetidin 200 mg Quetiapina";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
105754;"Quetidin Quetiapina 25mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
106440;"Quetidin xr 200 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
106441;"Quetidin xr 50 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140548;"Quetium 200 Mg. 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
107471;"Quetium Comp 100 mg x 31";Salud Mental;"Principio activo es igual al nombre del producto"
107469;"Quetium Comp 25 mg x 30";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140549;"Quetium Quetiapina 300 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
139866;"Qurax 100 mg x  30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
120625;"Qurax 100 mg. x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
120602;"Qurax 25 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140527;"Qurax Xr (B) 200mg 30 Comprimidos Prolongados";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140078;"QURAX XR 150 mg x 30 comp.";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140076;"QURAX XR 300 mg x 30 comp.";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140075;"QURAX XR 400 mg x 30 comp.";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
158959;"Risperdal Consta 37,5 (Risperidona)";Salud Mental;"Falta campo en bullets: Concentración"
159013;"Rispyl 2 mg x 20 Comp";Salud Mental;"Principio activo es igual al nombre del producto"
82385;"Ritmenal 400 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
107584;"Rize 10 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio"
101290;"Sedoran 100 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
125940;"Selenium-Heelaccord Gotas Orales";Salud Mental;"Falta campo en bullets: Concentración"
53869;"Seronex 50 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
15957;"Seroquel Quetiapina 100 mg 30 Comprimidos Recubierto";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140611;"Seroquel XR 150 Mg. 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140612;"Seroquel Xr 300mg x 30 Comprimidos Liberacion Prolongada";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140614;"Seroquel XR Quetiapina 50 mg 30 Comprimidos Liberación Prolongada";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140616;"Sertac Sertralina 50mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
91356;"Sertralina 100 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
140419;"Sertralina 100 mg x 30 comprimidos Ascend";Salud Mental;"Principio activo es igual al nombre del producto"
110679;"Sertralina 100mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
91164;"Sertralina 50 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
119494;"Sertralina 50 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
110664;"Sertralina 50 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140575;"Somit CR Zolpidem 12,5 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
107134;"Somno Zolpidem 10mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
107133;"Somno Zolpidem 5mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
91066;"Sostac Fluoxetina 20 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
53760;"Subelan XR Venlafaxina 150 mg 30 Cápsulas";Salud Mental;"mojibake: +í → á"
53758;"Subelan XR Venlafaxina 37,5 mg 30 Cápsulas Liberación Prolongada";Salud Mental;"mojibake: +í → á"
53759;"Subelan XR Venlafaxina 75 mg 30 Cápsulas Liberación Prolongada";Salud Mental;"mojibake: +í → á"
120793;"Sulpivol 50 Mg X 40 Cápsulas";Salud Mental;"mojibake: +í → á"
118969;"Tegretal Cr 200 Carbamazepina x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
118948;"Tegretal Cr 400 Carbamazepina x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
118970;"Tegretal Cr 400 mg  x 20 Comprimidos";Salud Mental;"Doble espacio en title_optimizado | Doble espacio en meta_description_optimizado | Doble espacio en descripcion_intranet"
91025;"Tensoliv x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
22946;"Tioridazina Clorhidrato 25 mg";Salud Mental;"Principio activo es igual al nombre del producto"
90961;"Tonaril Trihexifenidilo 2 mg x 100 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio"
131691;"Topictal 25 mg";Salud Mental;"Principio activo es igual al nombre del producto"
140378;"Topivitae Topiramato 100mg 28 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Laboratorio"
98630;"Tradox Lamotrigina 50mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
151134;"Trazodona Clorhidrato 100 mg x 28 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
150657;"Trigilab 200mg x 30 Comprimidos (Cenabast)";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
159569;"Trittico 100 mg 20 Comp Ley cenabast";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
150658;"Trittico 25mg x 20 Cápsulas (Cenabast)";Salud Mental;"mojibake: +í → á"
90955;"Trittico Trazodona 100mg 20 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
90956;"Trittico Trazodona 25mg 20 Cápsulas";Salud Mental;"Falta campo en bullets: Concentración"
140594;"Valcote Sprinkle 125 mg x 50 cápsulas";Salud Mental;"mojibake: +í → á"
104341;"Valnoc 3 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio"
105706;"Valpax Clonazepam 2 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
86246;"Valupass x 24 Cápsulas";Salud Mental;"mojibake: +í → á | Falta campo en bullets: Concentración"
150348;"Venlafaxina 150 mg x 30 caps";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
150863;"Venlafaxina 150 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
158913;"Venlafaxina 75 mg 30 cápsulas";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto | Indicación genérica: "Bienestar emocional y salud mental""
140425;"VENLAFAXINA 75 MG X 30 CAPSULAS";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
55791;"Venlavitae 150 mg x 30 Comprimido Recubiertos De Liberación Prolongada";Salud Mental;"mojibake: +í → á"
125943;"Vertigoheel Solucion Oral Gotas";Salud Mental;"Falta campo en bullets: Concentración"
151088;"Vertigoheel x 50 Comprimidos Sublinguales";Salud Mental;"Falta campo en bullets: Concentración"
107009;"Vertium Comp x 10";Salud Mental;"Falta campo en bullets: Concentración"
138538;"Vigisom 2 mg x 30 Comprimidos";Salud Mental;"Laboratorio vacío o "No especificado""
120891;"Vivimex 10 mg x 60 comprimidos recubiertos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
57083;"Wellbutrin XL Anfebutamona 150mg 30 Comprimidos Prolongados";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
57084;"Wellbutrin XL Anfebutamona 300mg 30 Comprimidos Prolongados";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
106236;"Zaviana FS Zolpidem 6.25mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
120066;"Zeldox Ziprasidona 40 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
150979;"Zeledox 40 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
159570;"Zetirol S 10/10 mg 28 Comp Ley cenabast";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
24067;"Zometic Zopiclona 7,5mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
150229;"Zopiclona 7,5 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
82470;"Zopiclona 7,5 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150666;"Zopiclona 7,5mg x 30 Comprimidos (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto"
91374;"Zubam Odt 5 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
